ano,total_ocorrencias,media_movel_3anos
2001.0,1,1.0
2013.0,8,4.5
2014.0,22049,7352.666666666667
2015.0,2,7353.0
2016.0,38763,20271.333333333332
2017.0,33805,24190.0
2018.0,35444,36004.0
2019.0,2,23083.666666666668
2021.0,25732,20392.666666666668
2023.0,30381,18705.0
2024.0,32430,29514.333333333332
