Bairro,total_ocorrencias,ranking,percentual
Corrego da Padaria,1,196,0.0
Corrego do Fernandinho,1,197,0.0
Monsenhor Fabricio,1,198,0.0
Mangabeira ,1,199,0.0
Magabeira,1,200,0.0
Jardim Planalto,1,201,0.0
Corrego do Carroceiro,1,202,0.0
Corrego do Bartolomeu,1,203,0.0
Fundao ,1,204,0.0
Gurado,1,205,0.0
Ur 04,1,206,0.0
Tres Morros,1,207,0.0
Sitio Sao Bras,1,208,0.0
Sem Bairro,1,209,0.0
Vila Esperanca,1,210,0.0
Ur 10,1,211,0.0
Vila do Sesi,1,212,0.0
 Agua Fria,1,213,0.0
